PID,Woreda,WID,Lat,Lon
CE071SA4733,Ankasha Guagusa,30903,10.808451,36.748516
CE071SA4734,Ankasha Guagusa,30903,10.804482,36.745174
CE071SA4735,Ankasha Guagusa,30903,10.691241,36.759741
CE071SA4736,Ankasha Guagusa,30903,10.935667,36.738977
CE071SA4737,Ankasha Guagusa,30903,10.867935,36.810130
CE071SA4738,Ankasha Guagusa,30903,10.646002,36.718562
CE071SA4739,Ankasha Guagusa,30903,10.651855,36.726099
CE071SA4740,Ankasha Guagusa,30903,10.856265,36.743706
CE071SA4741,Ankasha Guagusa,30903,10.866428,36.776563
CE071SA4742,Ankasha Guagusa,30903,10.765140,36.726558
CE071SA4743,Ankasha Guagusa,30903,10.748471,36.704787
CE071SA4744,Ankasha Guagusa,30903,10.948218,36.713639
CE071SA4745,Ankasha Guagusa,30903,10.951032,36.709429
CE071SA4746,Ankasha Guagusa,30903,10.849050,36.816038
CE071SA4747,Ankasha Guagusa,30903,10.736110,36.704917
CE071SA4748,Ankasha Guagusa,30903,10.742913,36.699333
CE071SA4749,Ankasha Guagusa,30903,10.782464,36.727315
CE071SA4750,Ankasha Guagusa,30903,10.858340,36.772845
CE071SA4751,Ankasha Guagusa,30903,10.685889,36.870525
CE071SA4752,Ankasha Guagusa,30903,10.863143,36.743803
CE071SA4753,Ankasha Guagusa,30903,10.768106,36.915815
CE071SA4754,Ankasha Guagusa,30903,10.779486,36.917029
CE071SA4755,Ankasha Guagusa,30903,10.759086,36.904345
CE071SA4756,Ankasha Guagusa,30903,10.747099,36.898764
CE071SA4757,Ankasha Guagusa,30903,10.798957,36.754260
CE071SA4758,Ankasha Guagusa,30903,10.750032,36.908690
CE071SA4759,Ankasha Guagusa,30903,10.688556,36.886318
CE071SA4760,Ankasha Guagusa,30903,10.719938,36.906153
CE071SA4761,Ankasha Guagusa,30903,10.736944,36.904176
CE071SA4762,Ankasha Guagusa,30903,10.775553,36.720970
CE071SA4763,Guangua,30904,11.042558,36.463093
CE071SA4764,Guangua,30904,10.902357,36.432593
CE071SA4765,Guangua,30904,10.902575,36.394081
CE071SA4766,Guangua,30904,10.734986,36.382707
CE071SA4767,Guangua,30904,10.889440,36.530875
CE071SA4768,Guangua,30904,10.852894,36.474278
CE071SA4769,Guangua,30904,10.889122,36.507579
CE071SA4770,Guangua,30904,10.756474,36.386532
CE071SA4771,Guangua,30904,10.833352,36.459444
CE071SA4772,Guangua,30904,10.924320,36.402545
CE071SA4773,Guangua,30904,10.945687,36.450884
CE071SA4774,Guangua,30904,11.053219,36.549735
CE071SA0001,Sinana,41109,7.050150,40.220890
CE071SA0002,Sinana,41109,7.052080,40.305550
CE071SA0003,Sinana,41109,7.076060,40.294020
CE071SA0004,Sinana,41109,7.077270,40.107960
CE071SA0005,Sinana,41109,7.107290,40.328170
CE071SA0006,Sinana,41109,7.121550,40.261100
CE071SA0007,Sinana,41109,7.084450,40.219090
CE071SA0008,Sinana,41109,7.047040,40.284500
CE071SA0009,Sinana,41109,7.060220,40.254370
CE071SA0010,Sinana,41109,7.082310,40.183520
CE071SA0011,Sinana,41109,7.062440,40.174620
CE071SA0012,Sinana,41109,7.115950,40.168500
CE071SA0013,Sinana,41109,7.145960,40.210960
CE071SA0014,Sinana,41109,7.162040,39.951350
CE071SA0015,Sinana,41109,7.156100,39.960490
CE071SA0016,Sinana,41109,7.195020,39.970040
CE071SA0017,Sinana,41109,7.150230,40.007950
CE071SA0018,Sinana,41109,7.190720,40.006130
CE071SA0019,Sinana,41109,7.230020,40.003330
CE071SA0020,Sinana,41109,7.261840,40.006330
CE071SA0021,Sinana,41109,7.098510,40.144490
CE071SA0022,Sinana,41109,7.145790,40.180030
CE071SA0023,Sinana,41109,7.093190,40.089590
CE071SA0024,Sinana,41109,7.098810,40.063430
CE071SA0025,Sinana,41109,7.094200,40.044750
CE071SA0026,Sinana,41109,7.084867,39.966260
CE071SA0027,Sinana,41109,7.088690,39.984020
CE071SA0028,Sinana,41109,7.073420,39.995540
CE071SA0029,Sinana,41109,7.032520,39.993170
CE071SA0030,Sinana,41109,7.033990,40.006520
CE071SA0031,Sinana,41109,7.107130,39.987900
CE071SA0032,Sinana,41109,7.030850,40.229520
CE071SA0033,Sinana,41109,7.036600,40.211110
CE071SA0034,Sinana,41109,7.068580,40.223350
CE071SA0035,Sinana,41109,7.162560,40.188060
CE071SA0036,Sinana,41109,7.143220,40.227990
CE071SA0037,Sinana,41109,7.077840,40.143490
CE071SA0038,Sinana,41109,7.113630,40.035980
CE071SA0039,Sinana,41109,7.145010,39.994220
CE071SA0040,Sinana,41109,7.162540,39.987640
CE071SA0041,Sinana,41109,7.173790,39.972090
