PID,P,K,Ca,Mg,Mn,S,Cu,B,Zn,Na,Fe,Al,Co,SOC,N,pH,EC,xBas,pCa,pMg,pK,pNa
CE071SA4733,1.10,370,3200,615,162,8.92,2.89,0.23,1.32,34.5,83.5,1270,2.6,46600,1800,6.09,61,22.2,72.0,23.1,4.3,0.7
CE071SA4734,2.33,485,2260,349,165,11,3.87,0.28,1.89,28.8,113,1460,1.74,41200,2100,5.53,54,15.6,72.5,18.7,8.0,0.8
CE071SA4735,7.37,195,7070,1930,24.6,15.9,6.46,0.24,1.21,69.2,216,877,0.47,51300,1400,5.82,92,52.2,67.7,30.8,1.0,0.6
CE071SA4736,3.43,354,1440,190,75.2,14,0.5,0.1,1.28,34.7,102,2280,0.13,50800,2600,5.48,30,9.8,73.2,16.1,9.2,1.5
CE071SA4737,2.99,162,1390,519,165,12,3.16,0.1,1.75,39.7,170,1790,2.23,41200,2000,5.4,60,11.9,58.6,36.5,3.5,1.5
CE071SA4738,29.00,585,5750,1460,77,14.8,3.12,0.45,1.82,45,173,1010,2.37,36600,1500,6.38,150,42.6,67.5,28.6,3.5,0.5
CE071SA4739,5.17,224,5060,1870,90.9,10.3,3.16,0.22,1.64,56.8,208,1150,2.12,34700,900,6.93,91,41.7,60.7,37.4,1.4,0.6
CE071SA4740,1.10,155,1930,464,43.7,12,0.51,0.1,2.22,74.2,72,2950,0.2,25400,1300,5.03,36,14.2,67.8,27.2,2.8,2.3
CE071SA4741,3.89,356,1510,245,153,13,2.77,0.1,2.48,34.8,152,1660,1.62,45700,2200,5.3,42,10.7,70.9,19.2,8.6,1.4
CE071SA4742,4.71,319,3860,1030,93,11.4,3.12,0.1,3.2,41,165,1060,1.3,44800,2000,5.88,69,28.9,66.8,29.7,2.8,0.6
CE071SA4743,2.25,366,3630,433,189,10.3,4.12,0.56,2.6,34.6,96.5,1110,2.04,43700,2300,6.13,80,22.8,79.4,15.8,4.1,0.7
CE071SA4744,7.67,459,4340,1360,70.5,13.6,0.92,0.1,1.25,31.8,163,1680,0.81,37100,1700,5.25,228,34.3,63.2,33.0,3.4,0.4
CE071SA4745,4.37,156,3400,392,102,11.3,1.31,0.1,2.62,34.7,119,1540,1.18,49500,2200,5.91,49,20.8,81.7,15.7,1.9,0.7
CE071SA4746,1.30,202,1810,459,95.7,16.8,2.95,0.1,0.87,44.7,105,1830,1.18,34900,1800,5.49,39,13.6,66.6,28.2,3.8,1.4
CE071SA4747,2.14,384,3230,413,146,10,4.82,0.42,2,23,115,1280,1.83,50000,1800,5.79,63,20.7,78.1,16.6,4.8,0.5
CE071SA4748,2.72,445,3780,507,186,9.41,6.94,0.69,3.35,33.7,102,1170,2.67,43400,1900,6.28,58,24.4,77.4,17.3,4.7,0.6
CE071SA4749,8.84,543,3390,588,262,13.5,2.27,0.23,4.98,33.7,176,1440,1.34,40400,1600,5.85,64,23.4,72.5,21.0,6.0,0.6
CE071SA4750,3.89,331,2050,343,121,10.3,3.5,0.1,1.62,25.1,137,1650,1.36,42500,1800,5.48,36,14.1,72.9,20.3,6.0,0.8
CE071SA4751,5.01,375,5230,2180,80.7,23.1,6.2,0.1,2.08,35.2,160,1200,1.47,30400,1300,6.12,158,45.4,57.6,40.0,2.1,0.3
CE071SA4752,17.60,454,737,157,64.7,23.5,2.46,0.1,1.79,84.7,130,2170,0.89,32700,1800,4.79,190,6.5,56.5,20.0,17.8,5.6
CE071SA4753,2.20,316,1400,319,130,14.3,3.2,0.1,1.2,27.1,158,1920,1.11,38500,2000,5.36,31,10.6,66.1,25.1,7.7,1.1
CE071SA4754,1.90,285,1870,346,148,12,3.43,0.1,1.12,21.6,155,1710,1.54,39700,2100,5.35,49,13.1,71.6,22.1,5.6,0.7
CE071SA4755,1.20,300,2220,437,113,11.5,3.39,0.1,2.87,16.1,143,1680,1.26,39300,2000,5.43,43,15.6,71.2,23.4,4.9,0.4
CE071SA4756,2.89,349,1100,246,150,19.1,3.37,0.1,1.23,18.6,158,1840,1.29,36400,2000,4.94,68,8.5,64.5,24.0,10.5,0.9
CE071SA4757,1.37,431,2300,532,223,14.3,2,0.1,1.41,36.5,97,1510,2.37,32300,1700,5.72,49,17.2,66.9,25.8,6.4,0.9
CE071SA4758,1.96,347,1570,383,175,15.5,3.79,0.1,1.82,27.1,197,1810,1.67,37900,2200,5.3,45,12.0,65.1,26.5,7.4,1.0
CE071SA4759,6.53,668,4420,474,247,10.8,4.76,1.03,3.77,27.3,96.7,1050,3.7,43400,1600,6.3,151,27.9,79.3,14.2,6.1,0.4
CE071SA4760,2.49,317,2350,441,136,12.9,3.25,0.1,1.8,32,194,1530,1.68,45400,1600,5.32,42,16.4,71.7,22.4,5.0,0.8
CE071SA4761,1.61,281,2280,508,131,12.8,4.42,0.1,1.69,16.6,161,1630,1.61,42300,2000,5.46,41,16.4,69.4,25.8,4.4,0.4
CE071SA4762,13.40,618,4910,446,216,11.6,3.1,0.89,8.68,5.58,130,1120,1.42,54500,2000,6.3,87,29.9,82.2,12.4,5.3,0.1
CE071SA4763,4.19,314,3830,1180,24.8,10.1,3.06,0.1,1.94,12.6,114,1720,0.5,36400,1400,6.17,48,29.8,64.2,32.9,2.7,0.2
CE071SA4764,1.49,266,4340,1180,78.4,11.9,4.71,0.1,1.28,22.5,101,1660,1.54,41600,1400,5.61,47,32.3,67.2,30.4,2.1,0.3
CE071SA4765,1.43,350,4300,1080,131,11,3.95,0.1,2.02,36.1,131,1320,2.93,42300,1300,6,63,31.6,68.1,28.5,2.8,0.5
CE071SA4766,1.28,225,5050,2720,100,7.9,6.88,0.42,2.06,38.7,109,1150,3.77,39500,1600,6.58,68,48.7,51.9,46.6,1.2,0.3
CE071SA4767,0.28,131,2780,1280,64.2,11,2.54,0.1,1.76,93,85.2,1630,1.01,30600,1300,5.65,30,25.3,54.9,42.1,1.3,1.6
CE071SA4768,1.37,206,3700,838,40.5,9.14,4.54,0.1,1.09,31.3,95.4,1560,0.47,37400,3300,6.03,46,26.1,70.8,26.7,2.0,0.5
CE071SA4769,0.39,98,1230,344,101,15.5,3.52,0.1,0.44,32.8,57.2,2210,1.03,35600,1500,5.19,29,9.4,65.3,30.5,2.7,1.5
CE071SA4770,8.14,138,4250,652,45.7,11.1,4.32,0.2,1.93,43,137,1100,0.47,55100,1600,6.16,75,27.2,78.1,20.0,1.3,0.7
CE071SA4771,1.62,54,3660,1060,56.2,7.92,5.03,0.1,1.43,32.7,133,1170,1.12,55700,1800,5.59,46,27.4,66.7,32.2,0.5,0.5
CE071SA4772,7.24,1240,3550,824,111,13.6,8.1,0.54,2.49,49.7,109,1090,3.12,40000,1700,6.4,176,28.0,63.4,24.5,11.4,0.8
CE071SA4773,3.37,835,3160,968,79.5,15.3,4,0.36,2.06,33,94.7,1050,1.89,46200,1500,5.87,188,26.2,60.4,30.8,8.2,0.5
CE071SA4774,2.02,447,879,243,127,22.1,1.97,0.1,1.36,37.7,87.2,1850,1.36,40700,2000,4.95,87,7.7,56.9,26.2,14.8,2.1
CE071SA0001,11.60,827,5830,782,239,8.84,4.39,0.72,1.56,42.3,58.2,863,3.76,41796,2000,7.04,99,38.0,76.8,17.2,11.2,0.5
CE071SA0002,73.30,1160,3450,779,226,12.4,4.7,0.62,1.56,24.5,136,928,2.9,39732,1600,6.22,151,26.8,64.3,24.2,22.2,0.4
CE071SA0003,27.40,929,3920,833,211,10.4,5.07,0.85,1.29,34,145,1010,2.49,47128,2000,6.1,103,29.1,67.4,23.9,16.4,0.5
CE071SA0004,6.88,832,3100,804,204,10.8,2.79,0.64,1.63,37.7,145,942,1.57,34572,1900,6.23,109,24.5,63.3,27.4,17.4,0.7
CE071SA0005,102.00,1140,4640,863,153,10.4,4.83,0.7,1.94,34.9,169,953,2.11,45752,2300,6.13,153,33.5,69.3,21.5,17.5,0.5
CE071SA0006,37.10,980,3890,920,178,11.9,4.4,0.74,1.23,30.7,133,982,2.24,46268,2300,5.85,303,29.8,65.3,25.8,16.9,0.4
CE071SA0007,18.10,827,8390,778,247,10.9,4.55,1.23,1.32,30.6,40.8,859,3.77,51600,2700,6.61,228,50.7,82.8,12.8,8.4,0.3
CE071SA0008,11.80,803,5160,910,214,9.11,4.41,0.61,1.27,23.4,76.8,699,3.5,43172,2000,7.06,105,35.5,72.6,21.3,11.6,0.3
CE071SA0009,21.80,890,6670,912,242,12,4.34,0.82,1.37,24.7,36.9,776,3.78,44204,2400,7.01,244,43.3,77.0,17.5,10.5,0.2
CE071SA0010,3.97,838,8060,677,261,9.75,4.67,1.02,1.18,41.6,35.6,958,3.84,46268,2300,7.65,169,48.3,83.5,11.7,8.9,0.4
CE071SA0011,17.70,875,9100,547,248,13,4.75,1.54,1.44,28,29.5,988,3.49,48150.54,2080,7.86,285,52.4,86.8,8.7,8.6,0.2
CE071SA0012,6.22,985,5350,993,200,12.5,4.74,0.73,1.21,34.3,91.7,923,3.2,41108,2400,6.06,125,37.7,71.0,21.9,13.4,0.4
CE071SA0013,23.00,977,3760,940,200,13,4.59,0.66,1.4,26.8,138,977,2.78,38184,2000,5.96,224,29.3,64.3,26.8,17.1,0.4
CE071SA0014,21.00,1020,4520,856,144,16.1,3.66,1.08,1.83,32.4,155,735,1.81,56932,3100,5.96,291,32.5,69.6,22.0,16.1,0.4
CE071SA0015,6.71,838,2600,556,151,13.4,3.98,0.65,1.25,18.7,198,914,1.98,44204,2400,5.78,171,19.9,65.4,23.3,21.6,0.4
CE071SA0016,2.73,845,2690,723,162,10.5,2.61,0.48,0.88,24.9,134,724,2.33,37152,2100,5.61,214,21.7,61.8,27.7,19.9,0.5
CE071SA0017,5.76,852,2790,707,145,9.97,3.76,0.62,1.45,18.7,174,888,1.91,35948,2300,5.83,128,22.1,63.1,26.6,19.8,0.4
CE071SA0018,9.48,856,3170,808,145,9.94,3.1,0.56,1.03,23.7,121,847,2.07,34400,2100,5.92,143,24.9,63.7,27.1,17.6,0.4
CE071SA0019,8.68,1010,4390,1030,145,8.56,2.77,0.45,0.85,29.9,92.6,876,2.32,21156,1100,6.31,110,33.3,66.0,25.8,15.6,0.4
CE071SA0020,9.70,1190,3900,756,233,10,3.25,0.53,1.38,26,101,900,3.32,29412,1000,6.36,129,29.0,67.3,21.8,21.1,0.4
CE071SA0021,5.74,991,4840,928,226,9.66,4.25,0.63,1.23,21.2,83.1,899,3.52,34228,2200,6.54,163,34.6,70.0,22.4,14.7,0.3
CE071SA0022,7.47,923,4100,885,216,9.72,4.28,0.52,1.44,24.2,106,909,3.56,35604,1800,6.3,147,30.3,67.6,24.3,15.6,0.3
CE071SA0023,4.21,704,3340,845,131,14.7,3.06,0.76,1.16,22.3,116,754,1.48,51256,3100,5.89,150,25.6,65.1,27.5,14.1,0.4
CE071SA0024,8.11,1010,3970,961,185,9.69,3.5,0.48,1.07,22.6,104,904,2.96,29068,1900,6.3,136,30.5,65.0,26.2,17.0,0.3
CE071SA0025,18.60,1010,4540,969,149,14,4.78,0.75,1.68,30.9,133,798,1.83,39216,2300,6.04,222,33.5,67.8,24.1,15.5,0.4
CE071SA0026,5.16,627,4380,834,123,12.5,3.67,0.63,0.96,32.7,151,764,1.88,38528,2400,5.85,177,30.6,71.6,22.7,10.5,0.5
CE071SA0027,5.16,540,2660,563,121,12.9,3.94,0.53,1.1,34.3,220,848,1.68,35088,2300,5.54,153,19.5,68.1,24.0,14.2,0.8
CE071SA0028,11.20,441,2460,485,106,15,3.88,0.61,1.4,32.6,217,747,1.29,45924,3000,5.34,356,17.6,69.8,22.9,12.8,0.8
CE071SA0029,8.77,576,4240,899,66,17.6,3.8,0.87,1.29,33.5,194,742,0.77,81576.504,1767,5.37,414,30.3,69.9,24.7,9.7,0.5
CE071SA0030,5.48,674,4230,777,139,9.45,4.51,0.54,0.98,24.8,152,774,2.08,37152,2100,6.11,95,29.5,71.8,22.0,11.7,0.4
CE071SA0031,6.07,449,2390,487,130,14,4.27,0.58,1.37,31.5,238,869,1.64,42484,2600,5.36,255,17.3,69.1,23.5,13.3,0.8
CE071SA0032,53.60,836,8430,590,257,11,4.64,1.35,1.37,22.9,30.9,920,4.12,46784,1900,7.76,216,49.3,85.5,10.0,8.7,0.2
CE071SA0033,70.80,1210,6520,800,245,15,4.07,1.1,2.75,27.4,49.3,845,3.45,42140,2100,7.47,230,42.5,76.7,15.7,14.6,0.3
CE071SA0034,20.20,718,8040,739,259,10.5,4.82,1.32,1.07,17.9,31.3,842,4.37,50224,2100,7.76,159,48.3,83.3,12.8,7.6,0.2
CE071SA0035,6.84,790,3260,763,179,9.23,4.31,0.77,1.4,27.5,148,807,2.55,47472,2300,6.2,134,24.8,65.7,25.6,16.3,0.5
CE071SA0036,12.90,892,3910,706,159,9.68,4.29,0.8,1.25,29.6,107,768,2.37,48160,2300,6.18,208,27.8,70.2,21.1,16.4,0.5
CE071SA0037,46.40,838,6390,864,215,9.89,3.82,0.84,1.17,28.2,55.2,843,3.13,41796,1900,7.05,206,41.4,77.1,17.4,10.4,0.3
CE071SA0038,7.16,768,2810,674,165,7.45,3.46,0.64,1.3,18.1,150,878,2.39,38528,2000,6.27,67,21.7,64.7,25.9,18.1,0.4
CE071SA0039,7.31,775,2770,641,164,8.63,3.28,0.6,1.35,26.3,164,835,2.13,40420,2400,6.08,111,21.3,65.0,25.1,18.7,0.5
